CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,IncomeCategory,AgeGroup,ProdTaken
300000,55.0,1,1,17.0,3,0,4,4.0,1,5.0,3,8.0,1,1,0,1.0,2,23118.0,1,3,0
300001,39.0,1,1,9.0,2,1,3,4.0,0,3.0,3,7.0,1,4,0,2.0,1,22622.0,1,2,0
300002,42.0,0,2,8.0,3,1,3,1.0,1,5.0,0,1.0,0,2,0,2.0,2,21272.0,1,2,0
300003,37.0,1,1,12.0,2,0,3,5.0,0,5.0,0,2.0,1,2,1,1.0,1,98678.0,3,2,0
300004,23.0,1,1,7.0,2,1,3,5.0,1,3.0,0,8.0,0,2,1,1.0,2,23453.0,1,0,0
300005,33.0,0,1,31.0,2,1,4,4.0,1,3.0,0,3.0,0,4,1,1.0,2,23987.0,1,1,0
300006,38.0,1,1,24.0,3,1,2,5.0,1,3.0,1,4.0,1,5,0,1.0,2,20811.0,1,2,0
300007,60.0,1,1,9.0,2,0,4,5.0,4,3.0,2,5.0,1,5,0,3.0,0,32404.0,2,4,0
300008,53.0,0,3,8.0,3,0,2,4.0,3,4.0,1,3.0,0,1,1,0.0,3,22525.0,1,3,0
300009,37.0,1,1,33.0,2,1,4,4.0,1,3.0,1,8.0,0,3,1,1.0,2,24025.0,1,2,0
300010,60.0,0,3,34.0,3,0,3,4.0,3,5.0,1,5.0,0,1,1,0.0,3,25266.0,2,4,0
300011,43.0,1,1,36.0,3,1,3,6.0,1,3.0,3,6.0,0,3,1,2.0,2,22950.0,1,2,0
300012,35.0,1,1,22.0,3,1,2,1.0,0,4.0,1,1.0,0,4,1,1.0,1,17426.0,1,1,0
300013,43.0,1,1,10.0,2,0,4,2.0,1,3.0,1,4.0,1,5,1,1.0,2,23909.0,1,2,0
300014,52.0,0,1,34.0,3,0,2,1.0,4,3.0,0,3.0,1,4,0,0.0,0,28247.0,2,3,0
300015,59.0,0,1,9.0,2,1,3,5.0,0,3.0,1,2.0,1,2,0,1.0,1,21058.0,1,4,1
300016,36.0,1,1,33.0,3,1,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0,1,2,0
300017,29.0,0,1,23.0,3,1,3,4.0,0,3.0,2,3.0,0,3,0,1.0,1,20822.0,1,1,0
300018,37.0,1,1,16.0,3,1,3,5.0,1,4.0,1,4.0,1,4,0,2.0,2,27525.0,2,2,0
300019,38.0,1,1,8.0,2,1,2,3.0,1,3.0,0,1.0,0,2,0,1.0,2,21553.0,1,2,0
300020,31.0,0,3,6.0,2,0,2,5.0,0,3.0,2,2.0,0,3,1,1.0,1,16359.0,1,1,1
300021,46.0,1,3,16.0,3,1,4,4.0,3,5.0,1,6.0,1,2,1,1.0,3,29439.0,2,3,0
300022,41.0,1,3,14.0,3,1,3,4.0,0,4.0,3,3.0,0,5,0,1.0,1,23339.0,1,2,1
300023,35.0,1,1,13.0,2,1,3,3.0,0,4.0,2,2.0,1,3,1,1.0,1,20363.0,1,1,1
